description,name,ean,emojy,updatedDate,category,energy,carbohydrate,alcohol,vitaminK,protein,fiber,iron,magnesium,phosphorus,sodium,copper,retinol,vitamimA,vitaminD,vitaminC,thiamim,vitaminB12,calcium,potassium,zinc,vitaminE,niacin, vitaminB6,water,caffeine,fats
"Turkey, whole, meat only, raw",Turkey meat only,171480,🍗,2019-04-01,Poultry Products,115.0,0.14,0.0,0.0,22.6,0.0,0.86,27.0,190.0,118.0,0.079,9.0,9.0,0.2,0.0,0.05,1.24,11.0,235.0,1.84,0.09,8.1,0.652,75.4,0.0,1.93
"Veal, Australian, separable fat, raw",Veal separable fat,173849,🍽️,2019-04-01,"Lamb, Veal, and Game Products",509.0,0.0,,,9.91,0.0,0.93,,,44.0,,42.0,42.0,,0.0,,,2.0,,,,,,38.1,,52.2
"Veal, external fat only, raw",Veal raw,174882,🍽️,2019-04-01,"Lamb, Veal, and Game Products",503.0,0.89,0.0,2.8,8.85,0.0,0.73,19.0,133.0,89.0,0.045,0.0,0.0,5.5,0.0,0.035,1.35,31.0,107.0,0.83,0.3,2.78,0.154,38.2,0.0,51.6
"Walrus, liver, raw (Alaska Native)",Walrus raw (Alaska Native),168031,🍽️,2019-04-01,American Indian/Alaska Native Foods,125.0,3.5,,,21.0,,14.4,,208.0,,,,,,,0.08,,,,,,,,71.5,,3.0
"Waxgourd, (chinese preserving melon), raw",Waxgourd raw,170069,🥦,2019-04-01,Vegetables and Vegetable Products,13.0,3.0,,,0.4,2.9,0.4,10.0,19.0,111.0,0.023,0.0,0.0,0.0,13.0,0.04,0.0,19.0,6.0,0.61,,0.4,0.035,96.1,,0.2
"Winged beans, immature seeds, raw",Winged beans raw,170476,🥦,2019-04-01,Vegetables and Vegetable Products,49.0,4.31,0.0,,6.95,,1.5,34.0,37.0,4.0,0.051,0.0,,0.0,18.3,0.14,0.0,84.0,223.0,0.39,,0.9,0.113,87.0,0.0,0.87
"Yardlong beans, mature seeds, raw",Yardlong beans raw,174281,🍽️,2019-04-01,Legumes and Legume Products,347.0,61.9,,,24.3,11.0,8.61,338.0,559.0,17.0,0.879,0.0,3.0,0.0,1.6,0.887,0.0,138.0,1160.0,3.5,,2.16,0.371,8.43,,1.31
"Apples, raw, without skin, cooked, boiled",Apples without skin,173928,🍎,2019-04-01,Fruits and Fruit Juices,222.0,13.6,0.0,0.6,0.26,2.4,0.19,3.0,8.0,1.0,0.035,0.0,2.0,0.0,0.2,0.016,0.0,5.0,88.0,0.04,0.05,0.095,0.044,85.5,0.0,0.36
"Balsam-pear (bitter gourd), pods, raw",Balsam-pear (bitter gourd) raw,168393,🥦,2019-04-01,Vegetables and Vegetable Products,17.0,3.7,,,1.0,2.8,0.43,17.0,31.0,5.0,0.034,0.0,24.0,0.0,84.0,0.04,0.0,19.0,296.0,0.8,,0.4,0.043,94.0,,0.17
"Beans, black turtle, mature seeds, raw",Beans mature seeds,175186,🍽️,2019-04-01,Legumes and Legume Products,1420.0,63.2,0.0,5.6,21.2,15.5,8.7,160.0,440.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,160.0,1500.0,2.2,0.21,1.96,0.286,11.0,0.0,0.9
