description,name,ean,emojy,updatedDate,category,brand,energy,carbohydrate,retinol,vitamimA,calcium,potassium,zinc,water,fats,protein,saturatedFats,vitaminC,fiber,iron,magnesium,phosphorus,sodium,copper,vitaminK,caffeine,vitaminE,alcohol,thiamim,vitaminB12,cholesterol,niacin, vitaminB6,vitaminD
"Abiyuch, raw",Abiyuch,fdcId167782,🍎,2019-04-01,Fruits and Fruit Juices,Generic,69.0,17.6,0.0,5.0,8.0,304.0,0.31,79.9,0.1,1.5,0.014,54.1,5.3,1.61,24.0,47.0,20.0,0.057,,,,,,,,,,
"Apricots, raw",Apricots,fdcId171697,🍎,2019-04-01,Fruits and Fruit Juices,Generic,201.0,11.1,0.0,96.0,13.0,259.0,0.2,86.4,0.39,1.4,0.027,10.0,2.0,0.39,10.0,23.0,1.0,0.078,3.3,0.0,0.89,0.0,0.03,0.0,0.0,0.6,0.054,0.0
"Arrowhead, raw",Arrowhead,fdcId169203,🥦,2019-04-01,Vegetables and Vegetable Products,Generic,99.0,20.2,0.0,0.0,10.0,922.0,0.28,72.5,0.29,5.33,,1.1,,2.57,51.0,174.0,22.0,0.171,,,,,0.17,0.0,0.0,1.65,0.26,0.0
"Arrowroot, raw",Arrowroot,fdcId168490,🥦,2019-04-01,Vegetables and Vegetable Products,Generic,271.0,13.4,0.0,1.0,6.0,454.0,0.63,80.8,0.2,4.24,0.039,1.9,1.3,2.22,25.0,98.0,26.0,0.121,,,,,0.143,0.0,0.0,1.69,0.266,0.0
"Arugula, raw",Arugula,fdcId169387,🥦,2019-04-01,Vegetables and Vegetable Products,Generic,105.0,3.65,0.0,119.0,160.0,369.0,0.47,91.7,0.66,2.58,0.086,15.0,1.6,1.46,47.0,52.0,27.0,0.076,109.0,0.0,0.43,0.0,0.044,0.0,0.0,0.305,0.073,0.0
"Asparagus, raw",Asparagus,fdcId168389,🥦,2019-04-01,Vegetables and Vegetable Products,Generic,85.0,3.88,0.0,38.0,24.0,202.0,0.54,93.2,0.12,2.2,0.04,5.6,2.1,2.14,14.0,52.0,2.0,0.189,41.6,0.0,1.13,0.0,0.143,0.0,0.0,0.978,0.091,0.0
"Bananas, raw",Bananas,fdcId173944,🍎,2019-04-01,Fruits and Fruit Juices,Generic,89.0,22.8,0.0,3.0,5.0,358.0,0.15,74.9,0.33,1.09,0.112,8.7,2.6,0.26,27.0,22.0,1.0,0.078,0.5,0.0,0.1,0.0,0.031,0.0,0.0,0.665,0.367,0.0
"Beets, raw",Beets,fdcId169145,🥦,2019-04-01,Vegetables and Vegetable Products,Generic,43.0,9.56,0.0,2.0,16.0,325.0,0.35,87.6,0.17,1.61,0.027,4.9,2.8,0.8,23.0,40.0,78.0,0.075,0.2,0.0,0.04,0.0,0.031,0.0,0.0,0.334,0.067,0.0
"Blackberries, raw",Blackberries,fdcId173946,🍎,2019-04-01,Fruits and Fruit Juices,Generic,181.0,9.61,0.0,11.0,29.0,162.0,0.53,88.2,0.49,1.39,0.014,21.0,5.3,0.62,20.0,22.0,1.0,0.165,19.8,0.0,1.17,0.0,0.02,0.0,0.0,0.646,0.03,0.0
"Blueberries, raw",Blueberries,fdcId2346411,🍎,2022-10-28,Fruits and Fruit Juices,Generic,,14.6,,,11.7,85.6,0.0853,84.2,0.306,0.703,,8.06,,0.34,6.18,13.0,0.0,0.046,,,,,,,,,,
"Borage, raw",Borage,fdcId170481,🥦,2019-04-01,Vegetables and Vegetable Products,Generic,21.0,3.06,0.0,210.0,93.0,470.0,0.2,93.0,0.7,1.8,0.17,35.0,,3.3,52.0,53.0,80.0,0.13,,,,,0.06,0.0,0.0,0.9,0.084,0.0
"Breadfruit, raw",Breadfruit,fdcId171714,🍎,2019-04-01,Fruits and Fruit Juices,Generic,103.0,27.1,0.0,0.0,17.0,490.0,0.12,70.6,0.23,1.07,0.048,29.0,4.9,0.54,25.0,30.0,2.0,0.084,0.5,0.0,0.1,0.0,0.11,0.0,0.0,0.9,0.1,0.0
"Broccoli, raw",Broccoli,fdcId747447,🥦,2019-12-16,Vegetables and Vegetable Products,Generic,31.0,6.27,,8.0,46.0,303.0,0.42,90.0,0.34,2.57,0.039,91.3,2.4,0.69,21.0,67.0,36.0,0.059,102.0,,0.15,,0.077,,,0.639,0.191,
